Tool;Model;RunIndex;PhaseName;MetricName;MetricValue
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;63085
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;4925272
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Load;Time;28841546
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;2772432
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Run;Time;7449801
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;2536424
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Run;DecisionNodes;15
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Run;AssignmentNodes;16
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Run;MinPath;4
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Run;MaxPath;4
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Run;AvgPath;4.0
RelationalRAGSolutionROBDD;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;63623
RelationalRAGSolutionROBDD;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;4925512
RelationalRAGSolutionROBDD;GeneratedI4O2Seed42.ttmodel;0;Load;Time;31931224
RelationalRAGSolutionROBDD;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;2754056
RelationalRAGSolutionROBDD;GeneratedI4O2Seed42.ttmodel;0;Run;Time;10118919
RelationalRAGSolutionROBDD;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;2540096
RelationalRAGSolutionROBDD;GeneratedI4O2Seed42.ttmodel;0;Run;DecisionNodes;11
RelationalRAGSolutionROBDD;GeneratedI4O2Seed42.ttmodel;0;Run;AssignmentNodes;8
RelationalRAGSolutionROBDD;GeneratedI4O2Seed42.ttmodel;0;Run;MinPath;3
RelationalRAGSolutionROBDD;GeneratedI4O2Seed42.ttmodel;0;Run;MaxPath;4
RelationalRAGSolutionROBDD;GeneratedI4O2Seed42.ttmodel;0;Run;AvgPath;3.875
RelationalRAGSolutionROBDD-H;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;64268
RelationalRAGSolutionROBDD-H;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;4925968
RelationalRAGSolutionROBDD-H;GeneratedI4O2Seed42.ttmodel;0;Load;Time;28219641
RelationalRAGSolutionROBDD-H;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;2773040
RelationalRAGSolutionROBDD-H;GeneratedI4O2Seed42.ttmodel;0;Run;Time;5770998
RelationalRAGSolutionROBDD-H;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;2551384
RelationalRAGSolutionROBDD-H;GeneratedI4O2Seed42.ttmodel;0;Run;DecisionNodes;11
RelationalRAGSolutionROBDD-H;GeneratedI4O2Seed42.ttmodel;0;Run;AssignmentNodes;8
RelationalRAGSolutionROBDD-H;GeneratedI4O2Seed42.ttmodel;0;Run;MinPath;3
RelationalRAGSolutionROBDD-H;GeneratedI4O2Seed42.ttmodel;0;Run;MaxPath;4
RelationalRAGSolutionROBDD-H;GeneratedI4O2Seed42.ttmodel;0;Run;AvgPath;3.875
RSyncBDD;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;519783051
RSyncBDD;GeneratedI4O2Seed42.ttmodel;0;Load;Time;279959458
RSyncBDD;GeneratedI4O2Seed42.ttmodel;0;Run;Time;131688285
RSyncBDD;GeneratedI4O2Seed42.ttmodel;0;Run;AssignmentNodes;4
RSyncBDD;GeneratedI4O2Seed42.ttmodel;0;Run;DecisionNodes;14
RSyncBDD;GeneratedI4O2Seed42.ttmodel;0;Run;MaxPath;4
RSyncBDD;GeneratedI4O2Seed42.ttmodel;0;Run;MinPath;3
RSyncBDD;GeneratedI4O2Seed42.ttmodel;0;Run;AvgPath;3.875
RSyncBDD-Unordered;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;467499287
RSyncBDD-Unordered;GeneratedI4O2Seed42.ttmodel;0;Load;Time;256779695
RSyncBDD-Unordered;GeneratedI4O2Seed42.ttmodel;0;Run;Time;131517000
RSyncBDD-Unordered;GeneratedI4O2Seed42.ttmodel;0;Run;AssignmentNodes;4
RSyncBDD-Unordered;GeneratedI4O2Seed42.ttmodel;0;Run;DecisionNodes;11
RSyncBDD-Unordered;GeneratedI4O2Seed42.ttmodel;0;Run;MaxPath;4
RSyncBDD-Unordered;GeneratedI4O2Seed42.ttmodel;0;Run;MinPath;2
RSyncBDD-Unordered;GeneratedI4O2Seed42.ttmodel;0;Run;AvgPath;3.375
RSyncBDT;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;500162721
RSyncBDT;GeneratedI4O2Seed42.ttmodel;0;Load;Time;264807551
RSyncBDT;GeneratedI4O2Seed42.ttmodel;0;Run;Time;169388715
RSyncBDT;GeneratedI4O2Seed42.ttmodel;0;Run;AssignmentNodes;15
RSyncBDT;GeneratedI4O2Seed42.ttmodel;0;Run;DecisionNodes;14
RSyncBDT;GeneratedI4O2Seed42.ttmodel;0;Run;MaxPath;4
RSyncBDT;GeneratedI4O2Seed42.ttmodel;0;Run;MinPath;3
RSyncBDT;GeneratedI4O2Seed42.ttmodel;0;Run;AvgPath;3.875
RSyncBDT-Unordered;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;463650475
RSyncBDT-Unordered;GeneratedI4O2Seed42.ttmodel;0;Load;Time;255578069
RSyncBDT-Unordered;GeneratedI4O2Seed42.ttmodel;0;Run;Time;176766568
RSyncBDT-Unordered;GeneratedI4O2Seed42.ttmodel;0;Run;AssignmentNodes;12
RSyncBDT-Unordered;GeneratedI4O2Seed42.ttmodel;0;Run;DecisionNodes;11
RSyncBDT-Unordered;GeneratedI4O2Seed42.ttmodel;0;Run;MaxPath;4
RSyncBDT-Unordered;GeneratedI4O2Seed42.ttmodel;0;Run;MinPath;2
RSyncBDT-Unordered;GeneratedI4O2Seed42.ttmodel;0;Run;AvgPath;3.375
------------------------------ New measurement started at 2019-07-17T12:26:51.441344 ------------------------------
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;257631153
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;4515896
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;0;Load;Time;105758925
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;3419048
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;0;Run;Time;688005110
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;6698808
EMFSolutionATLGraph;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;286504802
EMFSolutionATLGraph;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;4515808
EMFSolutionATLGraph;GeneratedI4O2Seed42.ttmodel;0;Load;Time;97624904
EMFSolutionATLGraph;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;3420040
EMFSolutionATLGraph;GeneratedI4O2Seed42.ttmodel;0;Run;Time;682111256
EMFSolutionATLGraph;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;7066984
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;599843716
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;7991440
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Load;Time;80851283
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;4783080
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Run;Time;90346818
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;4894824
NMF;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;420723700
NMF;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;64925696
NMF;GeneratedI4O2Seed42.ttmodel;0;Load;Time;33267100
NMF;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;65138688
NMF;GeneratedI4O2Seed42.ttmodel;0;Initial;Time;224501200
NMF;GeneratedI4O2Seed42.ttmodel;0;Initial;Memory;68104192
Fulib;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;53185144;0
Fulib;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;1117192;0
Fulib;GeneratedI4O2Seed42.ttmodel;0;Load;Time;13164247;0
Fulib;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;608376;0
Fulib;GeneratedI4O2Seed42.ttmodel;0;Run;Time;31530178;31
Fulib;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;850184;31
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;61077
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;4925768
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Load;Time;29832916
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;2772840
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Run;Time;8684726
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;2538384
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Run;DecisionNodes;14
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Run;AssignmentNodes;15
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Run;MinPath;3
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Run;MaxPath;4
RelationalRAGSolutionBDT;GeneratedI4O2Seed42.ttmodel;0;Run;AvgPath;3.875
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;61407
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;4921840
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Load;Time;27649403
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;2755608
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Run;Time;6963986
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;2537056
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Run;DecisionNodes;15
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Run;AssignmentNodes;8
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Run;MinPath;4
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Run;MaxPath;4
RelationalRAGSolutionOBDD;GeneratedI4O2Seed42.ttmodel;0;Run;AvgPath;4.0
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;61184
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;4921656
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Load;Time;29023827
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;2758832
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Run;Time;7544096
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;2536392
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Run;DecisionNodes;15
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Run;AssignmentNodes;16
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Run;MinPath;4
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Run;MaxPath;4
RelationalRAGSolutionOBDT;GeneratedI4O2Seed42.ttmodel;0;Run;AvgPath;4.0
RelationalRAGSolutionROBDD;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;62748
RelationalRAGSolutionROBDD;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;4925792
RelationalRAGSolutionROBDD;GeneratedI4O2Seed42.ttmodel;0;Load;Time;29791621
RelationalRAGSolutionROBDD;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;2754952
RelationalRAGSolutionROBDD;GeneratedI4O2Seed42.ttmodel;0;Run;Time;8027392
RelationalRAGSolutionROBDD;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;2542352
RelationalRAGSolutionROBDD;GeneratedI4O2Seed42.ttmodel;0;Run;DecisionNodes;11
RelationalRAGSolutionROBDD;GeneratedI4O2Seed42.ttmodel;0;Run;AssignmentNodes;8
RelationalRAGSolutionROBDD;GeneratedI4O2Seed42.ttmodel;0;Run;MinPath;3
RelationalRAGSolutionROBDD;GeneratedI4O2Seed42.ttmodel;0;Run;MaxPath;4
